Ground Distance,Mean-Elevation,Elevation Factor,Ellipsoid Distance
100.0,0,1.0,100.0
100.0,100,0.9999843,99.998
100.0,200,0.99996861,99.997
100.0,400,0.99993722,99.994
100.0,500,0.99992153,99.992
100.0,600,0.99990583,99.991
100.0,800,0.99987445,99.987
100.0,1000,0.99984306,99.984
100.0,1200,0.99981168,99.981
100.0,1400,0.9997803,99.978
100.0,1500,0.99976461,99.976
100.0,1600,0.99974893,99.975
100.0,1800,0.99971755,99.972
100.0,2000,0.99968618,99.969
100.0,2200,0.9996548,99.965
100.0,2400,0.99962343,99.962
100.0,2500,0.99960775,99.961
100.0,2600,0.99959207,99.959
100.0,2800,0.9995607,99.956
100.0,3000,0.99952934,99.953
